
-Prompt: ¿Cuándo adquiero la condición de alumno regular y por cuánto tiempo dura la matrícula antes de renovarla?

100 | 2.2 724956 | 4	0	 57
100 | 2.5 840924 | 0	2	 56
100 | 2.6 878300 | 3	2	 56
100 | 2.7 895964 | 0	2	 56
100 | 2.7 895964 | 0	2	 56
100 | 2.7 895964 | 0	2	 55
100 | 2.7 895964 | 0	2	 55
92.0 | 2.7 895964 | 0	188	 56
84.9 | 2.7 895964 | 0	188	 56
78.8 | 2.7 895964 | 0	188	 56
73.6 | 2.7 895964 | 0	188	 56
69.0 | 2.7 895964 | 0	188	 56
64.9 | 2.7 895964 | 0	188	 56
61.3 | 2.7 895964 | 0	188	 55
57.9 | 2.7 895964 | 0	188	 54
55.0 | 2.7 895964 | 98	14696	 56
52.4 | 2.7 895964 | 17	14698	 56
49.8 | 2.6 876252 | 26	14698	 55
47.6 | 2.5 835292 | 28	14698	 55
45.6 | 2.5 832732 | 26	14698	 55
43.7 | 2.5 832732 | 0	14704	 55
42.0 | 2.5 832732 | 0	14704	 54
40.4 | 2.5 832732 | 0	14704	 54
38.9 | 2.5 832732 | 100	14704	 60
37.6 | 2.5 832732 | 0	14706	 56
36.3 | 2.5 832732 | 0	14706	 55
35.1 | 2.5 832732 | 0	14706	 55
34.0 | 2.5 832732 | 100	14706	 60
33.0 | 2.5 832732 | 0	14708	 57
32.0 | 2.5 832732 | 0	14708	 56
31.1 | 2.5 832732 | 0	14708	 55
30.2 | 2.5 832732 | 100	14708	 60
29.4 | 2.5 832732 | 0	14710	 57
28.6 | 2.5 832732 | 0	14710	 57
27.9 | 2.5 832732 | 0	14710	 56
27.2 | 2.5 832732 | 100	14710	 59
26.5 | 2.5 832732 | 0	14710	 58
25.9 | 2.5 832732 | 0	14710	 60
25.3 | 2.5 832732 | 41	14726	 60
24.7 | 2.5 832732 | 41	14726	 60
24.1 | 2.5 832732 | 44	14726	 62
23.6 | 2.5 832732 | 41	14726	 62
23.1 | 2.5 832732 | 41	14726	 63
22.6 | 2.5 832732 | 45	14726	 63
22.1 | 2.5 832732 | 41	14726	 64
21.7 | 2.5 832732 | 45	14726	 64
21.2 | 2.5 832732 | 43	14726	 64
23.0 | 3.5 1174748 | 0	14726	 62
22.5 | 3.5 1174748 | 0	14726	 60
