
-Prompt: ¿Cuándo adquiero la condición de alumno regular y por cuánto tiempo dura la matrícula antes de renovarla?

29.1 | 3.7 1239416 | 0	0	 45
28.4 | 3.7 1239416 | 0	1	 45
27.7 | 3.7 1239416 | 8	6	 45
27.0 | 3.7 1239416 | 3	6	 44
26.4 | 3.7 1239416 | 1	7	 44
25.8 | 3.7 1239416 | 26	14987	 46
25.2 | 3.7 1239416 | 37	14987	 47
24.7 | 3.7 1239416 | 37	14987	 47
24.1 | 3.7 1239416 | 1	14985	 47
23.6 | 3.7 1239416 | 0	14986	 47
23.1 | 3.7 1239416 | 2	14979	 48
22.7 | 3.7 1239416 | 82	14979	 49
22.2 | 3.7 1239416 | 0	14979	 48
21.8 | 3.7 1239416 | 0	14979	 49
21.4 | 3.7 1239416 | 0	14979	 49
21.0 | 3.7 1239416 | 1	14978	 50
20.6 | 3.7 1239416 | 0	14976	 49
20.2 | 3.7 1239416 | 100	14983	 50
19.9 | 3.7 1239416 | 0	14983	 50
100 | 2.3 757996 | 0	0	 45
100 | 2.5 841452 | 0	0	 45
100 | 2.7 892068 | 0	0	 44
100 | 2.7 896420 | 0	0	 44
100 | 2.7 896420 | 0	0	 47
100 | 2.7 896420 | 0	0	 47
100 | 2.7 896420 | 16	0	 51
92.1 | 2.7 896420 | 0	0	 48
84.8 | 2.7 896420 | 1	0	 51
78.6 | 2.7 896420 | 30	0	 51
73.2 | 2.7 896420 | 34	0	 50
71.8 | 3.7 1238948 | 0	0	 48
67.7 | 3.7 1238948 | 0	0	 49
63.9 | 3.7 1238948 | 0	0	 49
60.5 | 3.7 1238948 | 0	0	 50
57.3 | 3.7 1238948 | 0	0	 51
54.6 | 3.7 1238948 | 30	0	 52
52.0 | 3.7 1238948 | 30	0	 52
49.7 | 3.7 1238948 | 36	0	 51
47.6 | 3.7 1238948 | 36	0	 51
45.6 | 3.7 1238948 | 37	0	 51

-Prompt: ¿Qué diferencia hay entre el sistema regular y los sistemas especiales de ingreso?

41.6 | 3.7 1238948 | 0	0	 50
40.1 | 3.7 1238948 | 0	-10	 49
38.8 | 3.7 1238948 | 1	-10	 49
37.5 | 3.7 1238948 | 0	-10	 49
36.3 | 3.7 1238948 | 0	-10	 49
35.1 | 3.7 1238948 | 0	-10	 48
34.1 | 3.7 1238948 | 0	-10	 48
33.1 | 3.7 1238948 | 0	-10	 48
32.2 | 3.7 1238948 | 0	175	 48
31.3 | 3.7 1238948 | 33	14963	 50
30.4 | 3.7 1238948 | 38	14963	 50
29.6 | 3.7 1238948 | 34	14963	 50
28.9 | 3.7 1238948 | 83	14963	 52
28.2 | 3.7 1238948 | 0	14963	 53
27.5 | 3.7 1238948 | 0	14963	 51
26.8 | 3.7 1238948 | 0	14963	 52
26.2 | 3.7 1238948 | 0	14963	 52
25.6 | 3.7 1238948 | 0	14961	 52
25.0 | 3.7 1238948 | 2	14964	 52
24.5 | 3.7 1238948 | 0	14964	 52
23.9 | 3.7 1238948 | 0	14963	 52
23.4 | 3.7 1238948 | 60	14963	 53
23.0 | 3.7 1238948 | 0	14963	 52
22.5 | 3.7 1238948 | 0	14963	 51
22.1 | 3.7 1238948 | 0	14963	 53
21.6 | 3.7 1238948 | 27	14979	 55
22.3 | 3.7 1240484 | 28	14979	 54
21.9 | 3.7 1240484 | 0	14979	 52
21.5 | 3.7 1240484 | 0	14979	 54
21.2 | 3.7 1240484 | 0	14979	 54
20.8 | 3.7 1240484 | 24	14979	 57
20.4 | 3.7 1240484 | 0	14979	 54
20.1 | 3.7 1240484 | 24	14979	 55
19.7 | 3.7 1240484 | 0	14979	 54
19.4 | 3.7 1240484 | 80	14979	 55
19.1 | 3.7 1240484 | 0	14979	 55
18.8 | 3.7 1240484 | 0	14979	 53
18.5 | 3.7 1240484 | 0	14979	 55
18.2 | 3.7 1240484 | 71	14979	 57
17.9 | 3.7 1240484 | 27	14979	 57
